date,amount,category,description
01-01-2024,80000,Income,Salary
02-01-2024,200.0,Expense,Groceries
03-01-2024,3000.0,Income,Freelance
04-01-2024,500.0,Expense,Utilities
05-01-2024,150.0,Income,SideGig
06-01-2024,50.0,Expense,Coffee
07-01-2024,1200.0,Expense,Rent
08-01-2024,300.0,Expense,Transport
09-01-2024,400.0,Income,Gift
10-01-2024,2500.0,Income,Bonus
11-01-2024,600.0,Expense,Shopping
12-01-2024,700.0,Expense,Healthcare
13-01-2024,500.0,Income,Investment
14-01-2024,300.0,Expense,Transport
15-01-2024,2000.0,Income,Freelance
16-01-2024,150.0,Expense,Entertainment
17-01-2024,5000.0,Income,Salary
18-01-2024,100.0,Expense,Coffee
19-01-2024,450.0,Expense,Groceries
20-01-2024,800.0,Income,Freelance
21-01-2024,200.0,Expense,Utilities
22-01-2024,300.0,Expense,Transport
23-01-2024,1000.0,Income,Freelance
24-01-2024,400.0,Expense,Groceries
25-01-2024,150.0,Income,SideGig
26-01-2024,50.0,Expense,Coffee
27-01-2024,1200.0,Expense,Rent
28-01-2024,300.0,Expense,Transport
29-01-2024,400.0,Income,Gift
30-01-2024,2500.0,Income,Bonus
31-01-2024,600.0,Expense,Shopping
01-02-2024,700.0,Expense,Healthcare
02-02-2024,500.0,Income,Investment
03-02-2024,300.0,Expense,Transport
04-02-2024,2000.0,Income,Freelance
05-02-2024,150.0,Expense,Entertainment
06-02-2024,5000.0,Income,Salary
07-02-2024,100.0,Expense,Coffee
08-02-2024,450.0,Expense,Groceries
09-02-2024,800.0,Income,Freelance
10-02-2024,200.0,Expense,Utilities
11-02-2024,300.0,Expense,Transport
12-02-2024,1000.0,Income,Freelance
13-02-2024,400.0,Expense,Groceries
14-02-2024,150.0,Income,SideGig
15-02-2024,50.0,Expense,Coffee
16-02-2024,1200.0,Expense,Rent
17-02-2024,300.0,Expense,Transport
18-02-2024,400.0,Income,Gift
19-02-2024,2500.0,Income,Bonus
20-02-2024,600.0,Expense,Shopping
21-02-2024,700.0,Expense,Healthcare
22-02-2024,500.0,Income,Investment
23-02-2024,300.0,Expense,Transport
24-02-2024,2000.0,Income,Freelance
25-02-2024,150.0,Expense,Entertainment
26-02-2024,5000.0,Income,Salary
27-02-2024,100.0,Expense,Coffee
28-02-2024,450.0,Expense,Groceries
01-03-2024,800.0,Income,Freelance
02-03-2024,200.0,Expense,Utilities
03-03-2024,300.0,Expense,Transport
04-03-2024,1000.0,Income,Freelance
05-03-2024,400.0,Expense,Groceries
06-03-2024,150.0,Income,SideGig
07-03-2024,50.0,Expense,Coffee
08-03-2024,1200.0,Expense,Rent
09-03-2024,300.0,Expense,Transport
10-03-2024,400.0,Income,Gift
11-03-2024,2500.0,Income,Bonus
12-03-2024,600.0,Expense,Shopping
13-03-2024,700.0,Expense,Healthcare
14-03-2024,500.0,Income,Investment
15-03-2024,300.0,Expense,Transport
16-03-2024,2000.0,Income,Freelance
17-03-2024,150.0,Expense,Entertainment
18-03-2024,5000.0,Income,Salary
19-03-2024,100.0,Expense,Coffee
20-03-2024,450.0,Expense,Groceries
21-03-2024,800.0,Income,Freelance